2026-08-01 15:37:11 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:38:11 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:39:11 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:40:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:41:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:42:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:43:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:44:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:45:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:46:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:47:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:48:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:49:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:50:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:51:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:52:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:53:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:54:12 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:55:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:56:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:57:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:58:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 15:59:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:00:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:01:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:02:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:03:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:04:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
