2026-08-01 15:37:11 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:38:11 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:39:11 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:40:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:41:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:42:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:43:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:44:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:45:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:46:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:47:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:48:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:49:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:50:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:51:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:52:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:53:12 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:54:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:55:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:56:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:57:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:58:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 15:59:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:00:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:01:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:02:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:03:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:04:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:05:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:06:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:07:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:08:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:09:13 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:10:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:11:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:12:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:13:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:14:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:15:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:16:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:17:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:18:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:19:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:20:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:21:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:22:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:23:14 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:24:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:25:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:26:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:27:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:28:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:29:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:30:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:31:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:32:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:33:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:34:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:35:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:36:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:37:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:38:15 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:39:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:40:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:41:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:42:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:43:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:44:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:45:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:46:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:47:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:48:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:49:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:50:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:51:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:52:16 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:53:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:54:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:55:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:56:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:57:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:58:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 16:59:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:00:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:01:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:02:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:03:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:04:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
