accuracy,benchmark,best_single_heldout,best_single_model_heldout,budget_per_group,case_id,eval_samples,gain_vs_best_single_heldout,method,original_bench_coe_heldout,output_dir,probe_samples
0.6685796269727403,mmlu_pro,0.6581452980305205,Qwen3.5-9B,50,gaokao_bert_mmlu_pro,7667,0.01043432894221985,probe_paired_lcb_complementarity_knn_tfidf_k100_h1p0_z0p25,0.5884961523412026,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/gaokao_bert_mmlu_pro_probe_paired_lcb_complementarity_knn_tfidf_k100_h1p0_z0p25_budget50,4365
0.7419104824646386,bbh,0.6822321255570626,granite-3.3-8b-instruct,50,gaokao_bert_bbh,5161,0.05967835690757606,probe_paired_lcb_complementarity_knn_tfidf_k50_h1p0_z0p25,0.6566556868823872,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/gaokao_bert_bbh_probe_paired_lcb_complementarity_knn_tfidf_k50_h1p0_z0p25_budget50,1350
0.43197278911564624,gpqa,0.34183673469387754,MAmmoTH2-8B-Plus,20,gaokao_bert_gpqa,588,0.0901360544217687,probe_complementarity_knn_tfidf_k3_h1p0,0.20578231292517007,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/gaokao_bert_gpqa_probe_complementarity_knn_tfidf_k3_h1p0_budget20,204
0.2733333333333333,mmstar_text_only,0.24666666666666667,Baichuan2-7B-Chat,50,gaokao_bert_mmstar,1200,0.026666666666666644,probe_complementarity_knn_tfidf_k50_h1p25,0.24333333333333335,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/gaokao_bert_mmstar_probe_complementarity_knn_tfidf_k50_h1p25_budget50,300
0.6668840485196296,mmlu_pro,0.6572322942480762,Qwen3.5-9B,50,qwen3vl_mmlu_pro,7667,0.009651754271553403,probe_complementarity_knn_tfidf_k100_h1p0,0.5454545454545454,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_mmlu_pro_probe_complementarity_knn_tfidf_k100_h1p0_budget50,4365
0.7515985274171673,bbh,0.6830071691532649,granite-3.3-8b-instruct,50,qwen3vl_bbh,5161,0.06859135826390239,probe_multilabel_tfidf_metadata,0.6473551637279596,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_bbh_probe_multilabel_tfidf_metadata_budget50,1350
0.39325842696629215,gpqa,0.33547351524879615,MAmmoTH2-8B-Plus,50,qwen3vl_gpqa,623,0.057784911717496,probe_multilabel_tfidf_metadata,0.3274478330658106,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_gpqa_probe_multilabel_tfidf_metadata_budget50,169
0.2791666666666667,mmstar_text_only,0.24916666666666668,Baichuan2-7B-Chat,50,qwen3vl_mmstar,1200,0.03,probe_knn_tfidf_k3,0.20166666666666666,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_mmstar_probe_knn_tfidf_k3_budget50,300
0.4693333333333333,cmmmu,0.4653333333333333,Qwen3-VL-4B-Instruct,50,qwen3vl_cmmmu,750,0.0040000000000000036,probe_complementarity_knn_tfidf_k20_h1p0,0.32266666666666666,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_cmmmu_probe_complementarity_knn_tfidf_k20_h1p0_budget50,150
0.6716697936210131,mathvista,0.6566604127579737,Qwen3-VL-4B-Instruct,50,qwen3vl_mathvista,533,0.015009380863039379,probe_paired_lcb_complementarity_knn_tfidf_k5_h1p25_z0p25,0.5459662288930581,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_mathvista_probe_paired_lcb_complementarity_knn_tfidf_k5_h1p25_z0p25_budget50,467
0.3548672566371681,mmmu_pro,0.347787610619469,Qwen3-VL-4B-Instruct,20,qwen3vl_mmmu_pro,1130,0.007079646017699115,probe_complementarity_knn_tfidf_k20_h1p5,0.2610619469026549,outputs/bench_coe/innovation_experiments_paired_lcb_combined_filtered/materialized/qwen3vl_mmmu_pro_probe_complementarity_knn_tfidf_k20_h1p5_budget20,600
